starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 09 14:22:20 2024	1731151340	0	508	508	507
Sat Nov 09 14:22:24 2024	1731151344	0	508	508	449
Sat Nov 09 14:22:23 2024	1731151343	0	508	508	508
Sat Nov 09 14:22:23 2024	1731151343	0	509	509	508
Sat Nov 09 14:22:21 2024	1731151341	0	510	510	509
Sat Nov 09 14:22:22 2024	1731151342	0	510	510	509
Sat Nov 09 14:22:21 2024	1731151341	0	510	510	510
Sat Nov 09 14:22:21 2024	1731151341	0	510	510	510
Sat Nov 09 14:22:20 2024	1731151340	0	510	510	510
Sat Nov 09 14:22:22 2024	1731151342	0	511	511	511
Sat Nov 09 14:22:22 2024	1731151342	0	511	511	511
Sat Nov 09 14:22:20 2024	1731151340	1	510	511	510
Sat Nov 09 14:22:26 2024	1731151346	0	512	512	512
Sat Nov 09 14:22:23 2024	1731151343	0	512	512	512
Sat Nov 09 14:22:20 2024	1731151340	0	513	513	513
Sat Nov 09 14:22:26 2024	1731151346	0	514	514	512
Sat Nov 09 14:22:20 2024	1731151340	0	514	514	513
Sat Nov 09 14:22:25 2024	1731151345	0	514	514	514
Sat Nov 09 14:22:25 2024	1731151345	0	514	514	514
Sat Nov 09 14:22:23 2024	1731151343	0	515	515	514
Sat Nov 09 14:22:20 2024	1731151340	0	515	515	512
Sat Nov 09 14:22:23 2024	1731151343	0	515	515	515
Sat Nov 09 14:22:22 2024	1731151342	0	516	516	516
Sat Nov 09 14:22:23 2024	1731151343	0	516	516	516
Sat Nov 09 14:22:21 2024	1731151341	0	517	517	517
Sat Nov 09 14:22:21 2024	1731151341	0	517	517	515
Sat Nov 09 14:22:21 2024	1731151341	0	517	517	517
Sat Nov 09 14:22:20 2024	1731151340	1	517	517	516
Sat Nov 09 14:22:21 2024	1731151341	0	518	518	517
Sat Nov 09 14:22:26 2024	1731151346	0	518	518	518
Sat Nov 09 14:22:21 2024	1731151341	0	518	518	518
Sat Nov 09 14:22:23 2024	1731151343	0	519	519	519
Sat Nov 09 14:22:23 2024	1731151343	0	519	519	517
Sat Nov 09 14:22:20 2024	1731151340	0	519	519	519
Sat Nov 09 14:22:25 2024	1731151345	0	520	520	520
Sat Nov 09 14:22:23 2024	1731151343	0	521	521	520
Sat Nov 09 14:22:20 2024	1731151340	0	521	521	521
Sat Nov 09 14:22:22 2024	1731151342	0	521	521	521
Sat Nov 09 14:22:25 2024	1731151345	0	522	522	522
Sat Nov 09 14:22:21 2024	1731151341	0	523	523	522
Sat Nov 09 14:22:21 2024	1731151341	0	523	523	523
Sat Nov 09 14:22:23 2024	1731151343	0	523	523	396
Sat Nov 09 14:22:25 2024	1731151345	0	523	523	523
Sat Nov 09 14:22:25 2024	1731151345	0	525	525	525
Sat Nov 09 14:22:26 2024	1731151346	0	526	526	525
Sat Nov 09 14:22:26 2024	1731151346	0	527	527	526
Sat Nov 09 14:22:25 2024	1731151345	0	527	527	526
Sat Nov 09 14:22:24 2024	1731151344	0	527	527	492
Sat Nov 09 14:22:23 2024	1731151343	0	527	527	527
Sat Nov 09 14:22:25 2024	1731151345	0	528	528	528
Sat Nov 09 14:22:23 2024	1731151343	0	529	529	529
Sat Nov 09 14:22:22 2024	1731151342	0	529	530	529
Sat Nov 09 14:22:21 2024	1731151341	0	530	530	530
Sat Nov 09 14:22:20 2024	1731151340	0	531	531	531
Sat Nov 09 14:22:20 2024	1731151340	0	531	531	531
Sat Nov 09 14:22:25 2024	1731151345	0	531	531	531
Sat Nov 09 14:22:24 2024	1731151344	0	533	533	531
Sat Nov 09 14:22:25 2024	1731151345	0	535	535	534
Sat Nov 09 14:22:24 2024	1731151344	0	535	535	535
Sat Nov 09 14:22:20 2024	1731151340	0	535	535	535
Sat Nov 09 14:22:24 2024	1731151344	0	535	535	535
Sat Nov 09 14:22:23 2024	1731151343	0	537	537	536
Sat Nov 09 14:22:24 2024	1731151344	0	537	537	537
Sat Nov 09 14:22:26 2024	1731151346	0	537	537	537
Sat Nov 09 14:22:25 2024	1731151345	0	538	538	538
Sat Nov 09 14:22:22 2024	1731151342	0	539	539	539
Sat Nov 09 14:22:25 2024	1731151345	0	539	539	539
Sat Nov 09 14:22:24 2024	1731151344	0	541	541	541
Sat Nov 09 14:22:21 2024	1731151341	0	541	541	541
Sat Nov 09 14:22:21 2024	1731151341	0	542	542	542
Sat Nov 09 14:22:24 2024	1731151344	0	543	543	543
Sat Nov 09 14:22:20 2024	1731151340	0	543	543	543
Sat Nov 09 14:22:21 2024	1731151341	0	543	544	543
Sat Nov 09 14:22:23 2024	1731151343	0	545	545	545
Sat Nov 09 14:22:20 2024	1731151340	0	545	545	545
Sat Nov 09 14:22:25 2024	1731151345	0	545	545	545
Sat Nov 09 14:22:20 2024	1731151340	0	545	545	545
Sat Nov 09 14:22:25 2024	1731151345	0	546	546	545
Sat Nov 09 14:22:22 2024	1731151342	0	548	548	548
Sat Nov 09 14:22:25 2024	1731151345	0	548	548	548
Sat Nov 09 14:22:20 2024	1731151340	0	549	549	548
Sat Nov 09 14:22:21 2024	1731151341	0	550	550	549
Sat Nov 09 14:22:26 2024	1731151346	0	550	550	550
Sat Nov 09 14:22:20 2024	1731151340	0	550	550	547
Sat Nov 09 14:22:20 2024	1731151340	0	551	551	551
Sat Nov 09 14:22:26 2024	1731151346	0	551	551	281
Sat Nov 09 14:22:25 2024	1731151345	0	552	552	552
Sat Nov 09 14:22:25 2024	1731151345	0	554	554	553
Sat Nov 09 14:22:20 2024	1731151340	0	554	554	553
Sat Nov 09 14:22:20 2024	1731151340	0	554	554	541
Sat Nov 09 14:22:20 2024	1731151340	0	555	555	555
Sat Nov 09 14:22:22 2024	1731151342	0	555	555	555
Sat Nov 09 14:22:20 2024	1731151340	0	556	556	555
Sat Nov 09 14:22:24 2024	1731151344	0	556	556	556
Sat Nov 09 14:22:20 2024	1731151340	1	555	556	555
Sat Nov 09 14:22:20 2024	1731151340	0	558	558	558
Sat Nov 09 14:22:21 2024	1731151341	0	558	558	558
Sat Nov 09 14:22:24 2024	1731151344	0	558	558	558
Sat Nov 09 14:22:20 2024	1731151340	0	559	560	559
Sat Nov 09 14:22:20 2024	1731151340	1	560	561	560
Sat Nov 09 14:22:23 2024	1731151343	0	561	561	561
Sat Nov 09 14:22:21 2024	1731151341	0	564	564	564
Sat Nov 09 14:22:25 2024	1731151345	0	565	565	564
Sat Nov 09 14:22:21 2024	1731151341	0	565	565	564
Sat Nov 09 14:22:20 2024	1731151340	1	565	565	564
Sat Nov 09 14:22:21 2024	1731151341	0	567	567	567
Sat Nov 09 14:22:26 2024	1731151346	0	568	568	567
Sat Nov 09 14:22:20 2024	1731151340	0	568	568	568
Sat Nov 09 14:22:24 2024	1731151344	0	569	569	569
Sat Nov 09 14:22:22 2024	1731151342	0	570	570	569
Sat Nov 09 14:22:21 2024	1731151341	0	570	570	570
Sat Nov 09 14:22:23 2024	1731151343	0	573	573	573
Sat Nov 09 14:22:24 2024	1731151344	0	574	574	574
Sat Nov 09 14:22:21 2024	1731151341	0	574	574	574
Sat Nov 09 14:22:26 2024	1731151346	0	574	574	574
Sat Nov 09 14:22:22 2024	1731151342	0	575	575	575
Sat Nov 09 14:22:25 2024	1731151345	0	576	576	576
Sat Nov 09 14:22:22 2024	1731151342	0	578	578	577
Sat Nov 09 14:22:23 2024	1731151343	0	579	579	577
Sat Nov 09 14:22:21 2024	1731151341	0	580	580	580
Sat Nov 09 14:22:21 2024	1731151341	0	580	580	580
Sat Nov 09 14:22:25 2024	1731151345	0	581	581	580
Sat Nov 09 14:22:26 2024	1731151346	0	582	582	581
Sat Nov 09 14:22:24 2024	1731151344	0	582	583	582
Sat Nov 09 14:22:26 2024	1731151346	0	583	583	583
Sat Nov 09 14:22:22 2024	1731151342	0	583	583	583
Sat Nov 09 14:22:25 2024	1731151345	0	584	584	584
Sat Nov 09 14:22:22 2024	1731151342	0	585	585	580
Sat Nov 09 14:22:21 2024	1731151341	0	585	585	585
Sat Nov 09 14:22:25 2024	1731151345	0	586	586	585
Sat Nov 09 14:22:24 2024	1731151344	0	587	587	558
Sat Nov 09 14:22:22 2024	1731151342	0	589	589	589
Sat Nov 09 14:22:21 2024	1731151341	0	590	590	590
Sat Nov 09 14:22:24 2024	1731151344	0	591	591	578
Sat Nov 09 14:22:26 2024	1731151346	0	591	591	127
Sat Nov 09 14:22:24 2024	1731151344	0	591	591	591
Sat Nov 09 14:22:21 2024	1731151341	0	593	593	592
Sat Nov 09 14:22:22 2024	1731151342	0	593	593	593
Sat Nov 09 14:22:22 2024	1731151342	0	594	594	594
Sat Nov 09 14:22:23 2024	1731151343	0	595	595	595
Sat Nov 09 14:22:22 2024	1731151342	0	595	595	595
Sat Nov 09 14:22:25 2024	1731151345	0	596	596	596
Sat Nov 09 14:22:21 2024	1731151341	0	596	596	596
Sat Nov 09 14:22:26 2024	1731151346	0	596	596	596
Sat Nov 09 14:22:23 2024	1731151343	0	597	597	596
Sat Nov 09 14:22:21 2024	1731151341	0	598	598	597
Sat Nov 09 14:22:21 2024	1731151341	0	598	598	597
Sat Nov 09 14:22:22 2024	1731151342	0	598	598	598
Sat Nov 09 14:22:25 2024	1731151345	0	599	599	599
Sat Nov 09 14:22:22 2024	1731151342	0	599	599	599
Sat Nov 09 14:22:26 2024	1731151346	0	600	600	600
Sat Nov 09 14:22:24 2024	1731151344	0	600	600	600
Sat Nov 09 14:22:23 2024	1731151343	0	600	600	600
Sat Nov 09 14:22:21 2024	1731151341	0	602	602	601
Sat Nov 09 14:22:21 2024	1731151341	0	602	602	602
Sat Nov 09 14:22:25 2024	1731151345	0	604	604	604
Sat Nov 09 14:22:22 2024	1731151342	0	605	605	587
Sat Nov 09 14:22:21 2024	1731151341	0	605	605	605
Sat Nov 09 14:22:23 2024	1731151343	0	605	605	605
Sat Nov 09 14:22:23 2024	1731151343	0	607	607	607
Sat Nov 09 14:22:21 2024	1731151341	0	607	607	607
Sat Nov 09 14:22:26 2024	1731151346	0	607	607	607
Sat Nov 09 14:22:24 2024	1731151344	0	607	607	607
Sat Nov 09 14:22:21 2024	1731151341	0	608	608	608
Sat Nov 09 14:22:24 2024	1731151344	0	608	608	608
Sat Nov 09 14:22:26 2024	1731151346	0	609	609	609
Sat Nov 09 14:22:26 2024	1731151346	0	609	609	609
Sat Nov 09 14:22:26 2024	1731151346	0	610	610	609
Sat Nov 09 14:22:21 2024	1731151341	0	612	612	612
Sat Nov 09 14:22:22 2024	1731151342	0	612	612	612
Sat Nov 09 14:22:22 2024	1731151342	0	612	612	506
Sat Nov 09 14:22:21 2024	1731151341	0	613	613	613
Sat Nov 09 14:22:24 2024	1731151344	0	615	615	605
Sat Nov 09 14:22:21 2024	1731151341	0	617	617	617
Sat Nov 09 14:22:25 2024	1731151345	0	618	618	616
Sat Nov 09 14:22:22 2024	1731151342	0	618	618	618
Sat Nov 09 14:22:25 2024	1731151345	0	618	618	618
Sat Nov 09 14:22:21 2024	1731151341	0	620	620	619
Sat Nov 09 14:22:22 2024	1731151342	0	620	620	620
Sat Nov 09 14:22:21 2024	1731151341	0	620	620	620
Sat Nov 09 14:22:22 2024	1731151342	0	621	621	621
Sat Nov 09 14:22:26 2024	1731151346	0	622	622	622
Sat Nov 09 14:22:20 2024	1731151340	0	624	624	623
Sat Nov 09 14:22:21 2024	1731151341	0	625	625	625
Sat Nov 09 14:22:21 2024	1731151341	0	625	625	625
Sat Nov 09 14:22:22 2024	1731151342	0	626	626	625
Sat Nov 09 14:22:25 2024	1731151345	0	626	626	625
